customer_id,customer_fname,customer_lname,customer_city,customer_state,customer_zipcode
1,Richard,Hernandez,Brownsville,TX,78521
2,Mary,Barrett,Littleton,CO,80126
3,Ann,Smith,Caguas,PR,725
4,Mary,Jones,San Marcos,CA,92069
5,Robert,Hudson,Caguas,PR,725
6,Mary,Smith,Passaic,NJ,7055
7,Melissa,Wilcox,Caguas,PR,725
8,Megan,Smith,Lawrence,MA,1841
9,Mary,Perez,Caguas,PR,725
10,Melissa,Smith,Stafford,VA,22554
11,Mary,Huffman,Caguas,PR,725
12,Christopher,Smith,San Antonio,TX,78227
13,Mary,Baldwin,Caguas,PR,725
14,Katherine,Smith,Pico Rivera,CA,90660
15,Jane,Luna,Fontana,CA,92336
16,Tiffany,Smith,Caguas,PR,725
17,Mary,Robinson,Taylor,MI,48180
18,Robert,Smith,Martinez,CA,94553
19,Stephanie,Mitchell,Caguas,PR,725
20,Mary,Ellis,West New York,NJ,7093
21,William,Zimmerman,Caguas,PR,725
22,Joseph,Smith,North Bergen,NJ,7047
23,Benjamin,Duarte,San Juan,PR,921
24,Mary,Smith,Caguas,PR,725
25,Paul,Richardson,Peoria,AZ,85345
26,Johnny,Hood,Glenview,IL,60025
27,Mary,Vincent,Caguas,PR,725
28,Timothy,Smith,Longview,WA,98632
29,Mary,Humphrey,Fort Worth,TX,76133
30,Barbara,Smith,Caguas,PR,725
31,Mary,Byrd,Albuquerque,NM,87111
32,Alice,Smith,Caguas,PR,725
33,Adam,Petersen,Norfolk,VA,23503
34,Mary,Smith,Caguas,PR,725
35,Margaret,Wright,Oceanside,CA,92056
36,Michelle,Carey,Caguas,PR,725
37,Virginia,Conrad,Norfolk,VA,23503
38,Mary,Smith,Opelousas,LA,70570
39,Juan,Mckinney,Caguas,PR,725
40,Mary,Smith,Long Beach,CA,90805
41,Victoria,Mason,Brooklyn,NY,11230
42,Ethan,Smith,Duluth,GA,30096
43,Mary,Herring,Caguas,PR,725
44,Howard,Smith,Napa,CA,94558
45,Mary,Nunez,Denver,CO,80231
46,Jennifer,Smith,Freeport,NY,11520
47,Lori,Fuller,Caguas,PR,725
48,Mary,Cowan,Strongsville,OH,44136
49,Martha,Smith,Caguas,PR,725
50,Mary,Kim,San Bernardino,CA,92410
51,Jessica,Smith,Caguas,PR,725
52,Mary,Lawson,Chicago,IL,60622
53,Katherine,Smith,Roswell,GA,30075
54,Mary,Olson,Caguas,PR,725
55,Janet,Farley,Phoenix,AZ,85029
